t,0_y,13_y,20_y
0,-10000.0,-10000.0,-10000.0
1,-10000.0,-10000.0,-10000.0
2,-10000.0,-10000.0,-10000.0
3,-10000.0,-10000.0,-10000.0
4,-10000.0,-10000.0,-10000.0
5,-10000.0,-10000.0,-10000.0
6,-10000.0,-10000.0,-10000.0
7,-10000.0,-10000.0,-10000.0
8,-10000.0,-10000.0,-10000.0
9,-10000.0,-10000.0,-10000.0
10,-10000.0,-10000.0,-10000.0
11,-10000.0,-10000.0,-10000.0
12,-10000.0,-10000.0,-10000.0
13,-10000.0,-10000.0,-10000.0
14,-10000.0,-10000.0,-10000.0
15,-10000.0,-10000.0,-10000.0
16,-10000.0,-10000.0,-10000.0
17,-10000.0,-10000.0,-10000.0
18,-10000.0,-10000.0,-10000.0
19,-10000.0,-10000.0,-10000.0
20,-10000.0,-10000.0,-10000.0
21,-10000.0,-10000.0,-10000.0
22,-10000.0,-10000.0,-10000.0
23,-10000.0,-10000.0,-10000.0
24,-10000.0,-10000.0,-10000.0
25,-10000.0,-10000.0,-10000.0
26,-10000.0,-10000.0,-10000.0
27,-10000.0,-10000.0,-10000.0
28,-10000.0,-10000.0,-10000.0
29,2603.0,3992.0,4113.0
30,3224.0,4578.0,4716.0
31,3891.0,5236.0,5429.0
32,4449.0,5984.0,6284.0
33,4857.0,6668.0,7011.0
34,5616.0,7341.0,7745.0
35,6447.0,8172.0,8552.0
36,7214.0,9025.0,9468.0
37,8084.0,9770.0,10271.0
38,8906.0,10571.0,11003.0
39,9564.0,11490.0,11764.0
40,10232.0,12197.0,12502.0
41,10976.0,12877.0,13162.0
42,11627.0,13527.0,13815.0
43,12367.0,14241.0,14544.0
44,13104.0,14912.0,15270.0
45,13887.0,15520.0,15918.0
46,14370.0,16103.0,16493.0
47,14797.0,16679.0,17011.0
48,15575.0,17226.0,17584.0
49,16240.0,17747.0,18099.0
50,16754.0,18297.0,18604.0
51,17341.0,18860.0,19062.0
52,18052.0,19348.0,19493.0
53,18388.0,19735.0,19879.0
54,18716.0,20103.0,20251.0
55,19263.0,20465.0,20591.0
56,19707.0,20862.0,20930.0
57,20098.0,21219.0,21256.0
58,20451.0,21537.0,21562.0
59,20821.0,21842.0,21865.0
60,21148.0,22113.0,22132.0
61,21353.0,22357.0,22398.0
62,21719.0,22603.0,22649.0
63,22050.0,22848.0,22904.0
64,22433.0,23105.0,23166.0
65,22765.0,23351.0,23420.0
66,22972.0,23555.0,23633.0
67,23150.0,23752.0,23854.0
68,23359.0,23970.0,24058.0
69,23709.0,24126.0,24243.0
70,23953.0,24312.0,24448.0
71,24160.0,24480.0,24650.0
72,24346.0,24662.0,24838.0
73,24527.0,24839.0,25014.0
74,24618.0,25036.0,25183.0
75,24740.0,25187.0,25320.0
76,24914.0,25358.0,25474.0
77,25080.0,25526.0,-10000.0
78,25267.0,25738.0,-10000.0
79,25388.0,25897.0,-10000.0
80,25545.0,26025.0,-10000.0
81,25692.0,26150.0,-10000.0
82,25751.0,26263.0,-10000.0
83,25867.0,26399.0,-10000.0
84,26050.0,-10000.0,-10000.0
85,26235.0,-10000.0,-10000.0
86,26384.0,-10000.0,-10000.0
87,26530.0,-10000.0,-10000.0
88,26615.0,-10000.0,-10000.0
89,26723.0,-10000.0,-10000.0
90,26866.0,-10000.0,-10000.0
91,27045.0,-10000.0,-10000.0
92,27160.0,-10000.0,-10000.0
93,27283.0,-10000.0,-10000.0
94,27358.0,-10000.0,-10000.0
95,27430.0,-10000.0,-10000.0
96,27489.0,-10000.0,-10000.0
