index,t,deaths_sim,date,0_y,13_y,20_y
0,0.0,0.0,2020-03-03,,,
1,1.0,0.0,2020-03-04,,,
2,2.0,0.03,2020-03-05,,,
3,3.0,0.12,2020-03-06,,,
4,4.0,0.33,2020-03-07,,,
5,5.0,0.75,2020-03-08,,,
6,6.0,1.55,2020-03-09,,,
7,7.0,3.0,2020-03-10,,,
8,8.0,5.5,2020-03-11,,,
9,9.0,9.69,2020-03-12,,,
10,10.0,16.44,2020-03-13,,,
11,11.0,26.98,2020-03-14,,,
12,12.0,42.89,2020-03-15,,,
13,13.0,66.25,2020-03-16,,,
14,14.0,99.57,2020-03-17,,,
15,15.0,145.84,2020-03-18,,,
16,16.0,208.51,2020-03-19,,,
17,17.0,291.37,2020-03-20,,,
18,18.0,398.46,2020-03-21,,,
19,19.0,533.96,2020-03-22,,,
20,20.0,701.95,2020-03-23,,,
21,21.0,906.31,2020-03-24,,,
22,22.0,1150.47,2020-03-25,,,
23,23.0,1437.3,2020-03-26,,,
24,24.0,1768.95,2020-03-27,,,
25,25.0,2146.74,2020-03-28,,,
26,26.0,2571.08,2020-03-29,,,
27,27.0,3041.49,2020-03-30,,,
28,28.0,3556.58,2020-03-31,,,
29,29.0,4114.14,2020-04-01,2603.0,3992.0,4113.0
30,30.0,4711.16,2020-04-02,3224.0,4578.0,4716.0
31,31.0,5344.01,2020-04-03,3891.0,5236.0,5429.0
32,32.0,6008.54,2020-04-04,4449.0,5984.0,6284.0
33,33.0,6700.19,2020-04-05,4857.0,6668.0,7011.0
34,34.0,7414.14,2020-04-06,5616.0,7341.0,7745.0
35,35.0,8145.46,2020-04-07,6447.0,8172.0,8552.0
36,36.0,8889.17,2020-04-08,7214.0,9025.0,9468.0
37,37.0,9640.4,2020-04-09,8084.0,9770.0,10271.0
38,38.0,10394.48,2020-04-10,8906.0,10571.0,11003.0
39,39.0,11146.97,2020-04-11,9564.0,11490.0,11764.0
40,40.0,11893.75,2020-04-12,10232.0,12197.0,12502.0
41,41.0,12631.06,2020-04-13,10976.0,12877.0,13162.0
42,42.0,13355.53,2020-04-14,11627.0,13527.0,13815.0
43,43.0,14064.19,2020-04-15,12367.0,14241.0,14544.0
44,44.0,14754.46,2020-04-16,13104.0,14912.0,15270.0
45,45.0,15424.18,2020-04-17,13887.0,15520.0,15918.0
46,46.0,16071.55,2020-04-18,14370.0,16103.0,16493.0
47,47.0,16695.17,2020-04-19,14797.0,16679.0,17011.0
48,48.0,17293.94,2020-04-20,15575.0,17226.0,17584.0
49,49.0,17867.11,2020-04-21,16240.0,17747.0,18099.0
50,50.0,18414.21,2020-04-22,16754.0,18297.0,18604.0
51,51.0,18935.01,2020-04-23,17341.0,18860.0,19062.0
52,52.0,19429.53,2020-04-24,18052.0,19348.0,19493.0
53,53.0,19897.98,2020-04-25,18388.0,19735.0,19879.0
54,54.0,20340.75,2020-04-26,18716.0,20103.0,20251.0
55,55.0,20758.35,2020-04-27,19263.0,20465.0,20591.0
56,56.0,21151.43,2020-04-28,19707.0,20862.0,20930.0
57,57.0,21520.75,2020-04-29,20098.0,21219.0,21256.0
58,58.0,21867.12,2020-04-30,20451.0,21537.0,21562.0
59,59.0,22191.43,2020-05-01,20821.0,21842.0,21865.0
60,60.0,22494.6,2020-05-02,21148.0,22113.0,22132.0
61,61.0,22777.6,2020-05-03,21353.0,22357.0,22398.0
62,62.0,23041.38,2020-05-04,21719.0,22603.0,22649.0
63,63.0,23286.93,2020-05-05,22050.0,22848.0,22904.0
64,64.0,23515.22,2020-05-06,22433.0,23105.0,23166.0
65,65.0,23727.19,2020-05-07,22765.0,23351.0,23420.0
66,66.0,23923.81,2020-05-08,22972.0,23555.0,23633.0
67,67.0,24105.98,2020-05-09,23150.0,23752.0,23854.0
68,68.0,24274.58,2020-05-10,23359.0,23970.0,24058.0
69,69.0,24430.49,2020-05-11,23709.0,24126.0,24243.0
70,70.0,24574.51,2020-05-12,23953.0,24312.0,24448.0
71,71.0,24707.44,2020-05-13,24160.0,24480.0,24650.0
72,72.0,24830.03,2020-05-14,24346.0,24662.0,24838.0
73,73.0,24943.0,2020-05-15,24527.0,24839.0,25014.0
74,74.0,25047.01,2020-05-16,24618.0,25036.0,25183.0
75,75.0,25142.71,2020-05-17,24740.0,25187.0,25320.0
76,76.0,25230.69,2020-05-18,24914.0,25358.0,25474.0
77,77.0,25311.54,2020-05-19,25080.0,25526.0,
78,78.0,25385.78,2020-05-20,25267.0,25738.0,
79,79.0,25453.91,2020-05-21,25388.0,25897.0,
80,80.0,25516.39,2020-05-22,25545.0,26025.0,
81,81.0,25573.66,2020-05-23,25692.0,26150.0,
82,82.0,25626.14,2020-05-24,25751.0,26263.0,
83,83.0,25674.18,2020-05-25,25867.0,26399.0,
84,84.0,25718.16,2020-05-26,26050.0,,
85,85.0,25758.38,2020-05-27,26235.0,,
86,86.0,25795.17,2020-05-28,26384.0,,
87,87.0,25828.78,2020-05-29,26530.0,,
88,88.0,25859.5,2020-05-30,26615.0,,
89,89.0,25887.55,2020-05-31,26723.0,,
90,90.0,25913.15,2020-06-01,26866.0,,
91,91.0,25936.52,2020-06-02,27045.0,,
92,92.0,25957.83,2020-06-03,27160.0,,
93,93.0,25977.27,2020-06-04,27283.0,,
94,94.0,25994.99,2020-06-05,27358.0,,
95,95.0,26011.13,2020-06-06,27430.0,,
96,96.0,26025.84,2020-06-07,27489.0,,
97,97.0,26039.24,2020-06-08,,,
98,98.0,26051.43,2020-06-09,,,
99,99.0,26062.54,2020-06-10,,,
100,100.0,26072.64,2020-06-11,,,
101,101.0,26081.83,2020-06-12,,,
102,102.0,26090.19,2020-06-13,,,
103,103.0,26097.79,2020-06-14,,,
104,104.0,26104.7,2020-06-15,,,
105,105.0,26110.98,2020-06-16,,,
106,106.0,26116.68,2020-06-17,,,
107,107.0,26121.87,2020-06-18,,,
108,108.0,26126.57,2020-06-19,,,
109,109.0,26130.85,2020-06-20,,,
110,110.0,26134.73,2020-06-21,,,
111,111.0,26138.26,2020-06-22,,,
112,112.0,26141.45,2020-06-23,,,
113,113.0,26144.36,2020-06-24,,,
114,114.0,26146.99,2020-06-25,,,
115,115.0,26149.38,2020-06-26,,,
116,116.0,26151.54,2020-06-27,,,
117,117.0,26153.51,2020-06-28,,,
118,118.0,26155.29,2020-06-29,,,
119,119.0,26156.9,2020-06-30,,,
120,120.0,26158.36,2020-07-01,,,
121,121.0,26159.69,2020-07-02,,,
122,122.0,26160.89,2020-07-03,,,
123,123.0,26161.98,2020-07-04,,,
124,124.0,26162.97,2020-07-05,,,
125,125.0,26163.86,2020-07-06,,,
126,126.0,26164.67,2020-07-07,,,
127,127.0,26165.4,2020-07-08,,,
128,128.0,26166.06,2020-07-09,,,
129,129.0,26166.66,2020-07-10,,,
130,130.0,26167.21,2020-07-11,,,
131,131.0,26167.7,2020-07-12,,,
132,132.0,26168.15,2020-07-13,,,
133,133.0,26168.55,2020-07-14,,,
134,134.0,26168.91,2020-07-15,,,
135,135.0,26169.24,2020-07-16,,,
136,136.0,26169.54,2020-07-17,,,
137,137.0,26169.81,2020-07-18,,,
138,138.0,26170.06,2020-07-19,,,
139,139.0,26170.28,2020-07-20,,,
140,140.0,26170.48,2020-07-21,,,
141,141.0,26170.66,2020-07-22,,,
142,142.0,26170.82,2020-07-23,,,
143,143.0,26170.97,2020-07-24,,,
144,144.0,26171.1,2020-07-25,,,
145,145.0,26171.22,2020-07-26,,,
146,146.0,26171.33,2020-07-27,,,
147,147.0,26171.43,2020-07-28,,,
148,148.0,26171.52,2020-07-29,,,
149,149.0,26171.6,2020-07-30,,,
150,150.0,26171.67,2020-07-31,,,
151,151.0,26171.74,2020-08-01,,,
152,152.0,26171.8,2020-08-02,,,
153,153.0,26171.85,2020-08-03,,,
154,154.0,26171.9,2020-08-04,,,
155,155.0,26171.94,2020-08-05,,,
156,156.0,26171.98,2020-08-06,,,
157,157.0,26172.02,2020-08-07,,,
158,158.0,26172.05,2020-08-08,,,
159,159.0,26172.08,2020-08-09,,,
160,160.0,26172.11,2020-08-10,,,
161,161.0,26172.13,2020-08-11,,,
162,162.0,26172.15,2020-08-12,,,
163,163.0,26172.17,2020-08-13,,,
164,164.0,26172.19,2020-08-14,,,
165,165.0,26172.2,2020-08-15,,,
166,166.0,26172.22,2020-08-16,,,
167,167.0,26172.23,2020-08-17,,,
168,168.0,26172.24,2020-08-18,,,
169,169.0,26172.25,2020-08-19,,,
170,170.0,26172.26,2020-08-20,,,
171,171.0,26172.27,2020-08-21,,,
