t,date,0_y,13_y,20_y
0,2020-03-18,,,
1,2020-03-20,,,
2,2020-03-22,,,
3,2020-03-23,,,
4,2020-03-24,,,
5,2020-03-25,,,
6,2020-03-26,,,
7,2020-03-27,,,
8,2020-03-28,,,
9,2020-03-29,,,
10,2020-03-30,,,
11,2020-03-31,,,
12,2020-04-01,,,
13,2020-04-02,,,
14,2020-04-03,,,
15,2020-04-04,,,
16,2020-04-05,,,
17,2020-04-06,,,
18,2020-04-07,,,
19,2020-04-08,,,
20,2020-04-09,,,
21,2020-04-10,,,
22,2020-04-11,,,
23,2020-04-12,292.0,552.0,573.0
24,2020-04-13,327.0,607.0,637.0
25,2020-04-14,402.0,683.0,712.0
26,2020-04-15,445.0,761.0,791.0
27,2020-04-16,481.0,835.0,858.0
28,2020-04-17,541.0,909.0,940.0
29,2020-04-18,647.0,993.0,1026.0
30,2020-04-19,683.0,1085.0,1138.0
31,2020-04-20,709.0,1181.0,1255.0
32,2020-04-21,854.0,1282.0,1370.0
33,2020-04-22,967.0,1397.0,1512.0
34,2020-04-23,1068.0,1533.0,1659.0
35,2020-04-24,1220.0,1699.0,1816.0
36,2020-04-25,1303.0,1845.0,1982.0
37,2020-04-26,1349.0,2006.0,2165.0
38,2020-04-27,1432.0,2145.0,2327.0
39,2020-04-28,1567.0,2266.0,2464.0
40,2020-04-29,1729.0,2479.0,2669.0
41,2020-04-30,1856.0,2693.0,2916.0
42,2020-05-01,1968.0,2891.0,3163.0
43,2020-05-02,2058.0,3107.0,3455.0
44,2020-05-03,2151.0,3324.0,3655.0
45,2020-05-04,2265.0,3525.0,3891.0
46,2020-05-05,2497.0,3719.0,4113.0
47,2020-05-06,2695.0,3967.0,4366.0
48,2020-05-07,2951.0,4255.0,4599.0
49,2020-05-08,3150.0,4548.0,4857.0
50,2020-05-09,3343.0,4878.0,5093.0
51,2020-05-10,3455.0,5102.0,5337.0
52,2020-05-11,3563.0,5356.0,5577.0
53,2020-05-12,3916.0,5577.0,5815.0
54,2020-05-13,4209.0,5843.0,6098.0
55,2020-05-14,4465.0,6166.0,6699.0
56,2020-05-15,4756.0,6508.0,7145.0
57,2020-05-16,5035.0,6802.0,7488.0
58,2020-05-17,5167.0,7132.0,7856.0
59,2020-05-18,5322.0,7441.0,8214.0
60,2020-05-19,5656.0,7742.0,
61,2020-05-20,6071.0,8063.0,
62,2020-05-21,6489.0,8849.0,
63,2020-05-22,6979.0,9395.0,
64,2020-05-23,7169.0,9830.0,
65,2020-05-24,7390.0,10227.0,
66,2020-05-25,7629.0,10599.0,
67,2020-05-26,8131.0,,
68,2020-05-27,8594.0,,
69,2020-05-28,9041.0,,
70,2020-05-29,9412.0,,
71,2020-05-30,9777.0,,
72,2020-05-31,9928.0,,
73,2020-06-01,10164.0,,
74,2020-06-02,10632.0,,
75,2020-06-03,11724.0,,
76,2020-06-04,12542.0,,
77,2020-06-05,13169.0,,
78,2020-06-06,13511.0,,
79,2020-06-07,13699.0,,
