t,0_y,13_y,20_y
0,-10000.0,-10000.0,-10000.0
1,-10000.0,-10000.0,-10000.0
2,-10000.0,-10000.0,-10000.0
3,-10000.0,-10000.0,-10000.0
4,-10000.0,-10000.0,-10000.0
5,-10000.0,-10000.0,-10000.0
6,-10000.0,-10000.0,-10000.0
7,-10000.0,-10000.0,-10000.0
8,-10000.0,-10000.0,-10000.0
9,-10000.0,-10000.0,-10000.0
10,-10000.0,-10000.0,-10000.0
11,-10000.0,-10000.0,-10000.0
12,-10000.0,-10000.0,-10000.0
13,-10000.0,-10000.0,-10000.0
14,-10000.0,-10000.0,-10000.0
15,-10000.0,-10000.0,-10000.0
16,-10000.0,-10000.0,-10000.0
17,-10000.0,-10000.0,-10000.0
18,-10000.0,-10000.0,-10000.0
19,-10000.0,-10000.0,-10000.0
20,-10000.0,-10000.0,-10000.0
21,-10000.0,-10000.0,-10000.0
22,-10000.0,-10000.0,-10000.0
23,292.0,552.0,573.0
24,327.0,607.0,637.0
25,402.0,683.0,712.0
26,445.0,761.0,791.0
27,481.0,835.0,858.0
28,541.0,909.0,940.0
29,647.0,993.0,1026.0
30,683.0,1085.0,1138.0
31,709.0,1181.0,1255.0
32,854.0,1282.0,1370.0
33,967.0,1397.0,1512.0
34,1068.0,1533.0,1659.0
35,1220.0,1699.0,1816.0
36,1303.0,1845.0,1982.0
37,1349.0,2006.0,2165.0
38,1432.0,2145.0,2327.0
39,1567.0,2266.0,2464.0
40,1729.0,2479.0,2669.0
41,1856.0,2693.0,2916.0
42,1968.0,2891.0,3163.0
43,2058.0,3107.0,3455.0
44,2151.0,3324.0,3655.0
45,2265.0,3525.0,3891.0
46,2497.0,3719.0,4113.0
47,2695.0,3967.0,4366.0
48,2951.0,4255.0,4599.0
49,3150.0,4548.0,4857.0
50,3343.0,4878.0,5093.0
51,3455.0,5102.0,5337.0
52,3563.0,5356.0,5577.0
53,3916.0,5577.0,5815.0
54,4209.0,5843.0,6098.0
55,4465.0,6166.0,6699.0
56,4756.0,6508.0,7145.0
57,5035.0,6802.0,7488.0
58,5167.0,7132.0,7856.0
59,5322.0,7441.0,8214.0
60,5656.0,7742.0,-10000.0
61,6071.0,8063.0,-10000.0
62,6489.0,8849.0,-10000.0
63,6979.0,9395.0,-10000.0
64,7169.0,9830.0,-10000.0
65,7390.0,10227.0,-10000.0
66,7629.0,10599.0,-10000.0
67,8131.0,-10000.0,-10000.0
68,8594.0,-10000.0,-10000.0
69,9041.0,-10000.0,-10000.0
70,9412.0,-10000.0,-10000.0
71,9777.0,-10000.0,-10000.0
72,9928.0,-10000.0,-10000.0
73,10164.0,-10000.0,-10000.0
74,10632.0,-10000.0,-10000.0
75,11724.0,-10000.0,-10000.0
76,12542.0,-10000.0,-10000.0
77,13169.0,-10000.0,-10000.0
78,13511.0,-10000.0,-10000.0
79,13699.0,-10000.0,-10000.0
