index,t,deaths_sim,date,0_y,13_y,20_y
0,0.0,0.0,2020-03-18,,,
1,1.0,0.0,2020-03-20,,,
2,2.0,1.54,2020-03-22,,,
3,3.0,4.64,2020-03-23,,,
4,4.0,9.34,2020-03-24,,,
5,5.0,15.68,2020-03-25,,,
6,6.0,23.73,2020-03-26,,,
7,7.0,33.57,2020-03-27,,,
8,8.0,45.28,2020-03-28,,,
9,9.0,58.96,2020-03-29,,,
10,10.0,74.72,2020-03-30,,,
11,11.0,92.7,2020-03-31,,,
12,12.0,113.03,2020-04-01,,,
13,13.0,135.85,2020-04-02,,,
14,14.0,161.33,2020-04-03,,,
15,15.0,189.64,2020-04-04,,,
16,16.0,220.96,2020-04-05,,,
17,17.0,255.49,2020-04-06,,,
18,18.0,293.42,2020-04-07,,,
19,19.0,334.97,2020-04-08,,,
20,20.0,380.36,2020-04-09,,,
21,21.0,429.82,2020-04-10,,,
22,22.0,483.59,2020-04-11,,,
23,23.0,541.91,2020-04-12,292.0,552.0,573.0
24,24.0,605.03,2020-04-13,327.0,607.0,637.0
25,25.0,673.22,2020-04-14,402.0,683.0,712.0
26,26.0,746.73,2020-04-15,445.0,761.0,791.0
27,27.0,825.83,2020-04-16,481.0,835.0,858.0
28,28.0,910.79,2020-04-17,541.0,909.0,940.0
29,29.0,1001.88,2020-04-18,647.0,993.0,1026.0
30,30.0,1099.37,2020-04-19,683.0,1085.0,1138.0
31,31.0,1203.52,2020-04-20,709.0,1181.0,1255.0
32,32.0,1314.61,2020-04-21,854.0,1282.0,1370.0
33,33.0,1432.91,2020-04-22,967.0,1397.0,1512.0
34,34.0,1558.67,2020-04-23,1068.0,1533.0,1659.0
35,35.0,1692.14,2020-04-24,1220.0,1699.0,1816.0
36,36.0,1833.58,2020-04-25,1303.0,1845.0,1982.0
37,37.0,1983.22,2020-04-26,1349.0,2006.0,2165.0
38,38.0,2141.29,2020-04-27,1432.0,2145.0,2327.0
39,39.0,2308.01,2020-04-28,1567.0,2266.0,2464.0
40,40.0,2483.58,2020-04-29,1729.0,2479.0,2669.0
41,41.0,2668.19,2020-04-30,1856.0,2693.0,2916.0
42,42.0,2862.01,2020-05-01,1968.0,2891.0,3163.0
43,43.0,3065.2,2020-05-02,2058.0,3107.0,3455.0
44,44.0,3277.89,2020-05-03,2151.0,3324.0,3655.0
45,45.0,3500.21,2020-05-04,2265.0,3525.0,3891.0
46,46.0,3732.26,2020-05-05,2497.0,3719.0,4113.0
47,47.0,3974.1,2020-05-06,2695.0,3967.0,4366.0
48,48.0,4225.8,2020-05-07,2951.0,4255.0,4599.0
49,49.0,4487.38,2020-05-08,3150.0,4548.0,4857.0
50,50.0,4758.84,2020-05-09,3343.0,4878.0,5093.0
51,51.0,5040.17,2020-05-10,3455.0,5102.0,5337.0
52,52.0,5331.33,2020-05-11,3563.0,5356.0,5577.0
53,53.0,5632.23,2020-05-12,3916.0,5577.0,5815.0
54,54.0,5942.78,2020-05-13,4209.0,5843.0,6098.0
55,55.0,6262.87,2020-05-14,4465.0,6166.0,6699.0
56,56.0,6592.33,2020-05-15,4756.0,6508.0,7145.0
57,57.0,6930.99,2020-05-16,5035.0,6802.0,7488.0
58,58.0,7278.64,2020-05-17,5167.0,7132.0,7856.0
59,59.0,7635.07,2020-05-18,5322.0,7441.0,8214.0
60,60.0,8000.01,2020-05-19,5656.0,7742.0,
61,61.0,8373.18,2020-05-20,6071.0,8063.0,
62,62.0,8754.29,2020-05-21,6489.0,8849.0,
63,63.0,9143.01,2020-05-22,6979.0,9395.0,
64,64.0,9538.99,2020-05-23,7169.0,9830.0,
65,65.0,9941.87,2020-05-24,7390.0,10227.0,
66,66.0,10351.25,2020-05-25,7629.0,10599.0,
67,67.0,10766.73,2020-05-26,8131.0,,
68,68.0,11187.9,2020-05-27,8594.0,,
69,69.0,11614.31,2020-05-28,9041.0,,
70,70.0,12045.52,2020-05-29,9412.0,,
71,71.0,12481.05,2020-05-30,9777.0,,
72,72.0,12920.45,2020-05-31,9928.0,,
73,73.0,13363.22,2020-06-01,10164.0,,
74,74.0,13808.89,2020-06-02,10632.0,,
75,75.0,14256.95,2020-06-03,11724.0,,
76,76.0,14706.91,2020-06-04,12542.0,,
77,77.0,15158.28,2020-06-05,13169.0,,
78,78.0,15610.55,2020-06-06,13511.0,,
79,79.0,16063.22,2020-06-07,13699.0,,
80,80.0,16515.82,2020-06-08,,,
81,81.0,16967.84,2020-06-09,,,
82,82.0,17418.81,2020-06-10,,,
83,83.0,17868.25,2020-06-11,,,
84,84.0,18315.7,2020-06-12,,,
85,85.0,18760.7,2020-06-13,,,
86,86.0,19202.83,2020-06-14,,,
87,87.0,19641.64,2020-06-15,,,
88,88.0,20076.73,2020-06-16,,,
89,89.0,20507.69,2020-06-17,,,
90,90.0,20934.16,2020-06-18,,,
91,91.0,21355.75,2020-06-19,,,
92,92.0,21772.13,2020-06-20,,,
93,93.0,22182.98,2020-06-21,,,
94,94.0,22587.96,2020-06-22,,,
95,95.0,22986.81,2020-06-23,,,
96,96.0,23379.25,2020-06-24,,,
97,97.0,23765.03,2020-06-25,,,
